R	B	G
28	139	184	
22	133	178	
28	139	184	
29	140	185	
24	137	181	
16	129	173	
9	124	168	
9	126	169	
10	127	170	
8	125	168	
13	130	173	
13	130	173	
18	135	178	
29	146	189	
39	154	198	
43	158	202	
47	162	206	
51	166	210	
44	159	203	
44	159	203	
43	158	202	
40	155	199	
35	152	195	
34	151	194	
36	153	196	
39	157	197	
34	152	190	
40	156	193	
45	159	196	
42	154	192	
37	146	185	
39	147	186	
49	155	195	
60	163	204	
67	168	210	
63	164	206	
58	159	201	
51	152	194	
45	148	189	
42	145	186	
40	143	184	
39	142	183	
27	133	172	
27	135	173	
30	138	176	
34	142	180	
35	143	181	
32	140	178	
25	133	171	
20	128	166	
21	129	167	
27	135	173	
33	141	179	
36	144	182	
34	142	180	
28	136	174	
23	131	169	
20	128	166	
24	132	171	
24	132	171	
29	137	176	
32	140	179	
29	137	176	
26	134	173	
34	142	181	
47	155	194	
45	151	191	
49	155	195	
44	150	190	
30	136	176	
24	130	170	
28	134	174	
30	136	176	
25	132	174	
24	135	178	
28	141	183	
34	147	191	
32	148	189	
26	143	186	
19	138	178	
15	134	176	
10	134	172	
15	138	179	
20	146	184	
27	155	194	
27	157	193	
23	152	191	
22	152	188	
27	156	195	
33	162	201	
28	155	196	
23	149	190	
19	144	188	
20	146	187	
22	145	189	
21	144	186	
22	145	189	
27	148	191	
25	146	191	
26	147	190	
25	146	191	
24	143	186	
21	139	185	
21	140	183	
25	143	189	
29	148	191	
17	140	181	
17	143	181	
21	144	185	
21	147	185	
24	147	188	
21	147	185	
22	145	186	
19	145	183	
16	139	180	
14	140	178	
16	139	180	
14	140	178	
16	139	180	
15	141	179	
17	140	181	
15	141	179	
32	139	183	
29	138	179	
34	141	185	
39	148	189	
39	148	191	
29	141	181	
23	134	177	
23	135	175	
34	145	188	
33	146	186	
32	145	187	
29	142	182	
27	140	182	
23	139	178	
26	139	181	
28	141	183	
29	140	183	
30	139	182	
30	139	182	
32	141	184	
28	139	182	
24	135	178	
24	135	178	
27	138	181	
31	144	186	
24	137	179	
19	135	176	
23	139	180	
25	141	182	
21	137	178	
18	136	176	
20	136	177	
24	137	179	
29	141	181	
33	145	185	
35	147	187	
35	147	187	
33	145	185	
32	144	184	
31	143	183	
29	138	179	
30	139	180	
30	139	180	
30	139	180	
34	143	184	
39	148	189	
37	146	187	
32	139	183	
24	131	177	
24	130	178	
25	131	179	
25	133	180	
26	134	181	
23	134	180	
18	130	176	
13	128	173	
17	134	178	
24	141	185	
30	149	192	
32	151	194	
28	149	192	
26	149	191	
27	150	192	
27	153	194	
30	158	203	
25	156	200	
25	156	200	
29	160	204	
28	159	203	
24	155	199	
24	155	199	
28	159	203	
25	156	200	
28	159	203	
32	163	207	
36	167	211	
39	170	214	
40	171	215	
40	171	215	
40	171	213	
44	172	211	
45	173	210	
44	170	208	
39	167	204	
38	164	202	
37	165	202	
34	160	198	
26	154	191	
33	159	197	
26	154	191	
23	149	187	
23	151	188	
26	152	190	
25	153	190	
29	155	193	
36	160	198	
32	151	193	
33	150	193	
36	151	195	
38	155	198	
41	156	200	
40	157	200	
39	154	198	
35	152	195	
35	150	194	
33	150	193	
32	147	191	
30	147	190	
31	146	190	
29	146	189	
28	143	187	
28	141	185	
25	133	179	
24	131	177	
22	130	176	
23	131	177	
24	132	178	
25	133	179	
22	133	178	
19	132	176	
28	141	185	
33	148	192	
37	152	196	
36	151	195	
36	153	196	
40	157	200	
41	158	201	
37	156	198	
32	153	196	
35	156	199	
36	155	198	
32	151	194	
32	149	193	
33	150	194	
34	149	194	
31	146	191	
33	148	193	
37	152	197	
36	151	196	
30	147	191	
25	144	187	
26	145	188	
24	145	188	
21	142	185	
21	142	185	
22	143	186	
24	145	190	
26	147	190	
25	143	189	
20	139	182	
21	139	185	
26	145	188	
23	139	186	
24	143	186	
28	146	192	
31	150	193	
32	153	198	
35	156	199	
37	158	203	
39	160	203	
40	162	201	
43	165	204	
45	164	204	
40	158	198	
31	147	188	
27	140	182	
31	140	183	
35	142	186	
33	138	183	
35	140	185	
37	142	187	
37	144	188	
35	142	186	
31	138	182	
26	133	177	
22	131	172	
26	138	178	
27	139	177	
30	142	182	
34	146	184	
39	151	191	
42	154	192	
44	156	196	
45	157	195	
36	148	188	
37	149	187	
40	152	192	
43	155	193	
44	156	196	
43	155	193	
41	153	193	
40	152	192	
40	152	192	
40	153	195	
44	155	198	
46	159	201	
44	155	198	
42	153	196	
49	160	203	
60	171	214	
57	166	209	
57	166	209	
54	163	206	
53	162	205	
57	166	209	
64	173	216	
66	175	218	
62	173	216	
43	156	200	
44	159	203	
47	162	207	
46	163	206	
42	161	204	
35	157	198	
31	154	196	
27	153	193	
31	158	199	
35	164	203	
40	169	209	
39	168	207	
33	165	204	
30	162	200	
32	164	203	
37	166	206	
37	166	208	
33	160	203	
30	157	200	
30	157	200	
28	153	197	
21	146	190	
19	142	186	
20	143	187	
20	141	186	
22	143	188	
23	144	189	
22	143	188	
23	141	187	
23	141	187	
27	145	191	
28	149	194	
27	150	192	
26	152	192	
26	152	193	
27	153	193	
28	154	195	
27	153	193	
24	150	191	
21	147	187	
15	141	182	
15	141	181	
16	142	183	
18	144	184	
19	145	186	
20	146	186	
20	146	187	
20	146	186	
46	154	200	
45	156	199	
52	160	206	
56	167	210	
56	167	212	
49	162	204	
44	157	201	
43	156	198	
47	160	204	
42	158	199	
38	153	197	
35	151	192	
36	151	195	
36	154	194	
38	153	197	
39	154	198	
38	149	194	
39	150	195	
38	149	194	
36	147	192	
37	148	193	
41	152	197	
39	152	196	
35	148	192	
44	157	201	
43	156	200	
42	157	201	
45	160	204	
42	157	201	
35	150	194	
30	145	189	
29	145	186	
24	140	181	
29	142	184	
32	145	187	
33	146	188	
31	144	186	
29	142	184	
29	140	183	
29	140	183	
27	138	181	
28	139	182	
30	139	182	
29	138	181	
32	141	184	
36	145	188	
33	140	184	
27	134	178	
42	149	195	
38	146	193	
36	144	191	
37	148	194	
41	152	198	
41	153	199	
36	148	194	
29	144	189	
18	135	179	
22	139	183	
25	144	187	
27	146	189	
24	145	188	
25	146	189	
29	150	193	
29	155	196	
37	165	210	
28	161	204	
23	156	199	
23	156	199	
23	156	199	
22	155	198	
23	156	199	
26	159	202	
32	165	208	
33	166	209	
34	167	210	
36	169	212	
37	170	213	
37	170	213	
37	170	213	
38	169	211	
31	160	200	
35	164	203	
36	164	203	
30	159	198	
29	157	196	
30	159	198	
32	160	199	
29	158	197	
42	170	209	
34	163	202	
30	158	197	
31	160	199	
35	163	202	
34	163	202	
35	163	202	
38	164	204	
36	157	200	
42	161	204	
48	165	209	
48	167	210	
46	163	207	
39	158	201	
34	151	195	
29	148	191	
30	147	191	
31	150	193	
34	151	195	
34	153	196	
35	152	196	
34	153	196	
35	152	196	
36	153	197	
41	153	199	
39	150	196	
37	148	194	
40	151	197	
45	157	203	
47	159	205	
44	156	202	
38	153	198	
37	152	197	
42	159	203	
46	163	207	
45	162	206	
43	160	204	
42	159	203	
39	158	201	
33	154	197	
25	148	192	
28	153	197	
31	154	198	
22	145	189	
16	137	182	
19	137	183	
25	141	188	
27	143	190	
16	132	179	
22	140	186	
26	144	190	
24	145	190	
24	147	191	
27	150	194	
27	152	196	
26	151	195	
30	157	200	
31	158	201	
33	158	204	
29	154	198	
21	143	190	
11	132	177	
11	132	179	
17	138	183	
28	146	194	
27	148	193	
29	150	197	
32	155	199	
33	158	204	
34	159	203	
32	159	204	
30	157	200	
32	159	200	
34	160	200	
35	158	199	
32	154	195	
25	144	186	
18	135	178	
15	128	172	
12	125	169	
22	133	178	
25	136	181	
28	139	184	
31	142	187	
31	142	187	
28	141	185	
25	138	182	
21	136	180	
30	146	187	
29	147	185	
30	148	188	
31	149	187	
33	151	191	
37	155	193	
43	161	201	
48	166	204	
40	158	198	
38	156	194	
36	154	194	
39	157	195	
44	162	202	
49	167	205	
50	168	208	
49	167	207	
49	166	209	
47	166	208	
46	163	206	
40	159	201	
32	149	192	
24	141	184	
25	142	185	
31	148	191	
39	154	198	
33	148	192	
31	146	190	
40	155	199	
53	166	210	
57	170	214	
58	171	215	
56	171	216	
50	167	211	
47	166	209	
46	164	210	
44	165	208	
43	166	210	
39	165	206	
36	163	206	
32	161	201	
25	154	196	
26	158	197	
28	159	201	
28	160	199	
26	157	199	
24	156	195	
26	155	197	
27	156	198	
38	167	209	
36	165	207	
38	167	209	
41	170	212	
40	167	210	
33	160	203	
30	155	199	
31	156	200	
25	148	192	
26	149	193	
27	148	193	
25	146	191	
24	142	188	
23	141	187	
25	141	188	
25	143	189	
33	158	202	
30	157	198	
29	156	199	
30	157	198	
32	159	202	
32	159	200	
28	155	198	
24	151	192	
23	150	193	
24	151	192	
26	153	196	
29	156	197	
31	158	201	
32	159	200	
33	160	203	
34	161	202	
50	165	209	
51	166	210	
54	169	213	
56	171	215	
57	172	216	
56	173	216	
57	174	217	
60	177	220	
55	172	215	
49	168	210	
45	164	206	
45	164	206	
47	166	208	
48	170	211	
47	169	210	
47	166	208	
53	168	212	
58	173	217	
57	172	216	
54	169	213	
60	175	219	
71	186	230	
72	187	231	
64	179	223	
52	167	211	
55	170	214	
58	175	218	
59	176	219	
56	173	216	
51	168	211	
47	164	207	
47	164	207	
54	172	212	
56	174	214	
56	174	214	
55	171	212	
51	167	208	
48	164	205	
46	162	203	
48	161	203	
57	170	212	
62	175	217	
66	177	220	
63	174	217	
60	171	214	
61	172	215	
62	171	214	
57	168	211	
53	166	210	
52	164	210	
50	165	210	
50	165	210	
50	165	210	
49	166	210	
47	164	208	
45	162	206	
47	166	209	
48	167	210	
46	167	210	
44	165	208	
42	165	207	
43	166	208	
47	170	212	
48	174	215	
35	164	206	
25	158	201	
17	150	193	
13	146	189	
14	147	190	
16	149	192	
19	152	195	
22	155	198	
28	161	204	
28	161	204	
28	161	204	
28	161	204	
28	161	204	
28	161	204	
29	162	205	
30	161	203	
22	154	193	
32	161	200	
38	167	206	
36	165	204	
33	162	201	
33	162	201	
32	161	200	
29	158	197	
23	152	191	
20	149	188	
20	149	188	
27	156	195	
31	160	199	
27	156	195	
21	150	189	
20	148	187	
27	150	192	
33	156	198	
40	161	204	
40	163	205	
37	158	201	
30	153	195	
27	148	191	
25	148	190	
25	146	189	
28	151	193	
33	154	197	
33	156	198	
32	153	196	
32	155	197	
35	156	199	
39	160	203	
39	158	201	
34	151	195	
28	145	189	
29	146	190	
34	153	196	
36	155	198	
31	150	193	
25	144	187	
28	147	190	
30	151	194	
34	153	196	
33	152	195	
29	148	191	
26	145	188	
21	142	185	
18	141	183	
20	147	190	
23	150	193	
20	147	190	
12	137	181	
10	133	177	
17	140	184	
28	149	194	
33	154	199	
23	144	189	
29	150	195	
32	153	198	
30	153	197	
29	154	198	
32	159	202	
34	161	204	
32	161	203	
30	158	203	
27	158	202	
30	158	203	
31	158	203	
27	152	198	
22	144	191	
22	144	191	
26	148	195	
32	153	200	
29	151	198	
28	150	197	
27	152	198	
26	153	198	
24	152	197	
21	149	194	
16	147	191	
22	153	195	
23	154	196	
25	154	196	
27	154	197	
27	152	196	
27	148	193	
24	142	188	
22	138	185	
26	141	188	
25	140	187	
23	138	185	
21	137	184	
20	136	183	
22	138	185	
22	140	186	
24	143	186	
34	156	197	
34	156	197	
33	155	196	
30	152	193	
25	147	188	
23	145	186	
24	146	187	
26	148	189	
27	149	190	
23	145	186	
20	142	183	
23	145	186	
31	153	194	
37	159	200	
37	159	200	
35	157	198	
18	141	183	
21	144	186	
24	147	191	
24	147	189	
23	146	190	
23	146	188	
29	150	195	
34	155	198	
44	162	208	
35	154	197	
33	151	197	
43	162	205	
49	165	212	
45	162	206	
43	159	206	
46	162	209	
48	166	212	
42	163	208	
38	159	204	
37	160	204	
37	162	206	
37	164	207	
34	163	205	
29	160	202	
32	163	205	
33	164	206	
35	166	208	
37	168	210	
39	170	212	
41	170	212	
40	169	211	
40	169	211	
36	165	207	
36	165	207	
39	168	210	
44	173	215	
45	172	215	
41	168	211	
42	167	211	
45	170	214	
49	172	216	
48	171	215	
46	167	212	
43	164	209	
44	162	208	
44	162	208	
47	163	210	
48	166	212	
43	168	212	
39	166	209	
37	164	207	
39	166	209	
43	170	213	
43	170	213	
40	167	210	
36	163	206	
28	155	198	
30	157	200	
33	160	203	
36	163	206	
39	166	209	
40	167	210	
41	168	211	
41	168	211	
43	164	207	
46	167	210	
47	168	211	
45	166	209	
43	164	207	
42	165	207	
43	166	208	
45	168	210	
50	173	215	
46	172	213	
45	171	212	
46	172	213	
50	176	217	
50	177	218	
48	175	216	
45	172	213	
48	171	213	
53	174	217	
53	174	217	
50	171	214	
57	178	221	
69	190	233	
71	192	235	
64	185	228	
50	171	214	
52	173	216	
54	175	218	
53	174	217	
51	172	215	
50	171	214	
50	171	214	
50	172	213	
58	182	220	
58	182	220	
58	182	220	
56	178	217	
52	174	213	
49	171	210	
49	171	210	
51	170	210	
64	183	223	
75	194	234	
81	199	239	
75	193	233	
67	183	224	
65	181	222	
68	184	225	
70	188	228	
58	177	219	
59	181	222	
60	182	223	
56	178	219	
50	172	213	
46	169	210	
48	171	212	
52	175	216	
55	178	219	
53	176	217	
48	174	214	
44	170	210	
41	167	207	
41	167	207	
43	169	209	
44	171	212	
32	161	203	
26	157	199	
20	151	193	
16	147	189	
18	149	191	
23	154	196	
28	159	201	
31	162	204	
34	165	207	
34	165	207	
34	165	207	
34	165	207	
34	165	207	
34	165	207	
35	166	208	
35	166	208	
30	162	201	
38	170	209	
43	175	214	
41	173	212	
38	170	209	
37	169	208	
37	169	208	
34	166	205	
20	152	191	
18	150	189	
20	152	191	
26	158	197	
27	159	198	
21	153	192	
14	146	185	
13	142	182	
18	147	189	
23	152	194	
31	158	201	
33	162	204	
34	161	204	
33	162	204	
37	164	207	
38	167	209	
39	166	209	
41	170	212	
45	172	215	
43	172	214	
43	170	213	
42	171	213	
47	174	217	
50	179	221	
48	175	218	
39	166	209	
28	155	198	
24	151	194	
24	151	194	
23	150	193	
17	144	187	
11	138	181	
15	142	185	
17	144	187	
21	146	190	
25	150	194	
26	151	195	
28	153	197	
31	156	200	
33	160	203	
32	160	205	
30	161	205	
28	156	201	
25	152	197	
27	154	199	
34	159	205	
38	160	207	
36	158	205	
38	160	207	
38	163	209	
36	161	207	
28	155	200	
24	151	196	
24	152	197	
24	155	199	
22	155	198	
23	156	201	
18	151	196	
18	149	195	
23	154	200	
29	157	204	
28	154	202	
27	152	200	
28	153	201	
34	156	205	
31	156	204	
28	154	202	
27	155	202	
27	158	204	
27	160	205	
28	161	206	
26	161	206	
22	158	200	
21	157	199	
23	156	199	
27	158	202	
32	160	205	
36	161	207	
38	160	207	
36	158	205	
35	156	203	
33	154	201	
31	152	199	
29	150	197	
29	150	197	
28	150	197	
30	152	199	
31	153	200	
32	157	201	
35	161	202	
37	163	204	
37	163	204	
33	159	200	
27	153	194	
23	149	190	
20	146	187	
21	147	188	
19	145	186	
18	144	185	
23	149	190	
29	155	196	
32	158	199	
29	155	196	
23	150	193	
24	153	195	
28	157	199	
31	159	204	
31	160	202	
31	159	204	
33	162	204	
38	165	210	
41	168	211	
48	173	219	
42	167	211	
45	167	214	
50	173	217	
47	169	216	
38	161	205	
37	158	205	
43	164	209	
50	171	216	
46	169	213	
42	165	209	
40	165	209	
41	170	212	
40	171	213	
38	169	211	
35	168	209	
24	157	198	
25	158	199	
28	159	201	
29	160	202	
31	160	202	
31	158	201	
29	156	199	
28	155	198	
39	168	208	
34	166	205	
35	164	204	
35	164	204	
34	161	202	
32	159	200	
38	164	205	
45	171	212	
48	171	213	
46	167	210	
44	163	206	
42	161	204	
45	162	206	
49	166	210	
56	171	216	
57	176	219	
51	176	220	
47	174	217	
45	172	215	
46	173	216	
47	174	217	
47	174	217	
44	171	214	
41	168	211	
42	169	212	
44	171	214	
47	174	217	
50	177	220	
52	179	222	
53	180	223	
53	180	223	
52	179	222	
29	156	197	
36	165	205	
43	170	211	
41	170	210	
38	167	207	
37	166	206	
36	165	205	
32	164	203	
32	164	203	
32	164	203	
34	166	205	
35	169	207	
37	171	209	
38	172	210	
36	170	208	
34	168	206	
32	161	201	
33	162	202	
33	160	201	
31	160	200	
35	162	203	
40	167	208	
42	169	210	
41	167	208	
40	166	207	
40	166	207	
37	163	204	
33	159	200	
32	158	199	
36	162	203	
37	163	204	
36	162	202	
31	159	196	
31	161	197	
32	160	197	
31	159	196	
29	157	194	
30	156	194	
31	157	195	
33	159	197	
42	166	204	
52	176	214	
57	179	218	
49	171	210	
41	160	200	
40	159	199	
45	164	204	
47	169	208	
60	188	225	
63	193	229	
65	194	233	
59	189	225	
49	178	217	
45	175	211	
51	179	218	
58	186	223	
55	183	222	
53	181	218	
49	178	217	
45	175	211	
42	171	210	
40	170	206	
40	169	208	
39	168	207	
47	176	216	
46	177	219	
43	174	216	
37	168	210	
33	164	206	
36	167	209	
40	171	213	
40	171	213	
52	183	225	
52	183	225	
53	184	226	
54	185	227	
54	185	227	
53	184	226	
53	184	226	
52	184	223	
50	182	221	
53	185	224	
52	184	223	
46	178	217	
44	176	215	
48	180	219	
50	182	221	
49	181	220	
50	182	221	
46	178	217	
45	177	216	
46	178	217	
43	175	214	
38	170	209	
36	168	207	
38	170	209	
33	166	207	
32	168	208	
34	167	208	
32	168	208	
35	168	209	
35	171	211	
41	174	215	
42	178	218	
48	181	222	
46	182	222	
47	180	221	
44	180	220	
46	179	220	
46	182	222	
52	185	226	
53	189	229	
53	191	230	
47	185	224	
40	176	216	
38	174	214	
39	175	215	
39	175	215	
36	172	212	
32	168	208	
34	167	208	
34	167	208	
38	169	211	
44	175	217	
46	177	219	
50	179	221	
54	183	225	
59	190	232	
49	182	225	
49	182	225	
49	180	224	
51	179	224	
55	183	228	
55	182	227	
45	170	216	
33	158	204	
25	150	196	
27	154	199	
24	151	196	
17	145	190	
15	143	188	
16	147	191	
18	151	194	
16	152	194	
27	162	207	
19	154	199	
15	150	195	
23	156	201	
29	160	206	
30	158	205	
26	152	200	
24	149	197	
29	154	202	
28	154	202	
26	154	201	
23	154	200	
20	153	198	
19	154	199	
23	158	203	
25	162	206	
18	157	200	
16	155	198	
14	151	197	
15	150	195	
19	149	198	
23	151	198	
24	150	200	
24	150	198	
26	150	201	
29	154	202	
32	156	207	
35	160	208	
36	160	211	
33	159	207	
30	156	206	
28	154	202	
26	153	198	
28	157	199	
35	164	206	
42	171	213	
47	176	218	
46	175	217	
42	171	213	
37	166	208	
36	165	207	
37	166	208	
40	169	211	
45	174	216	
49	178	220	
47	176	218	
42	171	213	
34	165	207	
39	172	215	
40	176	218	
40	173	216	
33	166	209	
27	160	203	
24	157	200	
23	154	198	
20	151	195	
28	156	201	
27	155	200	
30	157	202	
32	159	204	
28	155	200	
24	149	195	
25	150	196	
29	154	200	
48	171	215	
45	170	214	
45	170	214	
45	172	215	
43	174	216	
42	175	216	
40	173	214	
38	171	212	
41	174	215	
43	176	217	
45	176	218	
46	175	217	
43	170	213	
41	166	210	
40	165	209	
40	165	209	
39	168	208	
32	164	203	
30	159	199	
27	156	196	
26	153	194	
28	155	196	
39	165	206	
52	175	217	
54	175	218	
48	169	212	
42	161	204	
38	157	200	
38	155	199	
39	156	200	
42	157	202	
42	159	203	
42	165	209	
38	165	208	
37	164	207	
35	162	205	
33	160	203	
32	159	202	
31	158	201	
30	157	200	
39	166	209	
40	167	210	
43	170	213	
44	171	214	
45	172	215	
43	170	213	
41	168	211	
40	167	210	
36	169	210	
43	179	219	
49	182	223	
43	179	219	
38	174	214	
38	174	214	
38	174	214	
35	173	212	
23	161	200	
25	163	202	
27	165	204	
26	165	204	
27	166	205	
28	167	206	
30	169	208	
32	172	208	
40	176	214	
37	174	210	
38	172	209	
37	174	210	
37	171	208	
34	168	205	
37	171	208	
43	175	213	
41	173	211	
39	171	209	
36	165	204	
30	159	198	
32	161	200	
39	168	207	
40	169	208	
34	166	204	
33	167	202	
32	169	203	
34	168	203	
33	167	202	
32	166	201	
34	167	202	
38	171	206	
41	174	209	
42	172	208	
47	177	213	
47	175	212	
40	168	205	
36	162	200	
38	164	202	
41	167	205	
40	168	205	
42	176	211	
42	179	211	
41	178	212	
36	173	205	
30	167	201	
28	165	197	
34	168	203	
39	174	206	
55	189	224	
54	189	221	
53	187	222	
53	188	220	
53	186	221	
51	184	217	
49	182	217	
47	180	215	
53	182	222	
62	191	231	
66	195	235	
60	189	229	
54	183	223	
56	185	225	
59	188	228	
59	188	228	
67	196	236	
68	197	237	
70	199	239	
70	199	239	
70	199	239	
68	197	237	
65	194	234	
64	193	233	
67	199	238	
68	200	238	
66	198	236	
62	194	232	
63	195	233	
66	198	236	
66	198	236	
63	195	233	
60	192	230	
61	193	231	
64	196	234	
66	198	236	
61	193	231	
55	187	225	
56	188	226	
60	194	232	
51	189	228	
44	186	224	
42	181	220	
38	180	218	
41	180	219	
42	184	222	
46	185	224	
45	187	225	
42	181	220	
36	178	216	
34	173	212	
31	173	211	
35	174	213	
38	180	218	
44	183	222	
44	186	224	
34	178	215	
31	177	214	
31	177	214	
33	179	216	
37	181	218	
37	181	218	
35	177	215	
33	175	213	
44	183	222	
43	182	221	
46	184	223	
50	188	227	
49	187	226	
45	181	221	
46	182	222	
51	187	227	
55	191	233	
57	190	233	
57	190	233	
59	190	234	
64	192	237	
64	192	237	
54	181	226	
41	168	213	
30	157	202	
34	161	206	
35	162	207	
32	160	205	
30	161	205	
33	166	209	
37	170	213	
35	171	213	
31	168	212	
24	161	207	
23	158	205	
27	159	207	
30	160	209	
28	156	205	
24	150	200	
23	149	199	
17	143	193	
21	147	197	
22	150	199	
17	147	196	
9	141	189	
5	140	187	
7	144	190	
10	148	194	
14	155	200	
13	154	199	
11	152	198	
11	149	195	
10	145	193	
11	143	191	
13	143	193	
15	143	192	
9	135	186	
12	138	188	
15	141	192	
18	144	194	
19	145	196	
16	144	193	
13	140	191	
9	139	188	
19	150	194	
18	149	193	
20	151	195	
29	160	204	
39	170	214	
45	176	220	
43	174	218	
39	170	214	
37	168	212	
40	171	215	
46	177	221	
50	181	225	
51	182	226	
48	179	223	
43	174	218	
38	171	214	
15	150	195	
19	156	200	
22	157	202	
19	154	199	
19	154	199	
23	158	203	
25	158	203	
22	155	200	
18	149	195	
20	151	197	
22	150	197	
19	147	194	
20	148	195	
24	150	198	
24	150	198	
20	147	192	
29	154	198	
32	157	201	
36	163	206	
37	166	208	
33	164	206	
30	163	204	
28	161	202	
25	161	201	
25	158	199	
31	164	205	
38	169	211	
41	170	212	
41	166	210	
43	166	210	
47	168	213	
50	173	217	
55	184	224	
47	179	217	
42	171	210	
37	166	205	
34	162	201	
36	164	203	
50	176	216	
65	188	229	
80	202	243	
75	197	238	
69	188	230	
65	182	225	
63	178	222	
60	175	219	
58	171	215	
52	169	213	
34	157	201	
34	161	204	
36	163	206	
35	162	205	
31	158	201	
30	157	200	
33	160	203	
37	164	207	
28	155	198	
29	156	199	
30	157	200	
30	157	200	
28	155	198	
25	152	195	
21	148	191	
19	146	189	
63	196	237	
67	200	241	
61	194	235	
44	180	220	
34	170	210	
32	170	209	
35	173	212	
34	174	210	
31	170	209	
31	173	209	
34	174	210	
31	173	209	
29	171	207	
31	173	209	
37	179	215	
44	184	219	
46	183	219	
40	177	211	
42	176	211	
43	180	214	
41	175	210	
34	168	203	
37	171	206	
47	181	216	
57	190	225	
56	189	224	
52	182	218	
48	178	214	
53	183	219	
63	193	229	
63	193	229	
55	188	223	
46	183	217	
46	183	217	
46	183	217	
44	181	215	
42	179	213	
45	179	216	
48	182	219	
51	185	222	
51	185	222	
49	183	220	
44	178	215	
39	173	210	
39	173	210	
42	179	215	
42	178	216	
37	175	211	
30	168	204	
27	167	202	
25	165	200	
21	161	196	
20	160	195	
20	160	195	
21	164	198	
23	166	200	
22	162	197	
23	163	198	
24	164	199	
27	167	202	
28	168	203	
27	167	202	
26	164	200	
23	161	197	
36	170	208	
53	184	226	
65	196	238	
66	197	239	
66	197	239	
72	204	243	
79	210	252	
82	214	253	
67	199	238	
70	199	239	
72	201	241	
72	201	241	
71	200	240	
67	196	236	
63	192	232	
59	191	230	
49	183	221	
53	187	224	
55	189	227	
57	191	228	
60	194	232	
60	194	231	
54	188	226	
44	178	215	
40	174	212	
47	181	218	
60	194	232	
67	201	238	
63	197	235	
56	190	227	
55	189	227	
57	193	231	
51	193	231	
47	191	228	
44	188	225	
46	190	227	
53	197	234	
60	204	241	
63	207	244	
65	207	245	
40	182	220	
34	176	214	
27	169	209	
26	168	208	
31	173	213	
39	178	219	
44	183	224	
43	185	225	
31	177	214	
32	180	216	
35	181	218	
36	182	219	
33	179	216	
28	174	211	
23	167	204	
19	163	200	
22	166	203	
22	164	202	
28	167	206	
33	172	211	
31	170	209	
24	163	202	
22	160	199	
26	164	203	
28	165	207	
28	164	206	
25	160	205	
26	159	202	
31	164	209	
38	169	213	
37	168	214	
32	163	207	
42	170	217	
44	175	219	
46	177	223	
40	173	216	
38	171	216	
36	172	214	
35	170	215	
31	168	212	
24	162	208	
22	160	206	
23	160	206	
26	161	208	
25	157	205	
21	151	200	
22	150	199	
25	151	201	
29	155	205	
37	163	211	
44	172	221	
41	172	218	
34	167	212	
28	163	208	
31	168	212	
36	175	218	
23	164	209	
24	167	211	
25	166	211	
26	164	210	
24	161	207	
23	158	205	
25	157	205	
26	158	206	
21	151	201	
20	150	200	
18	148	198	
16	146	196	
16	146	196	
17	147	197	
17	149	198	
19	149	198	
18	149	195	
11	142	188	
6	137	183	
10	141	185	
21	152	196	
28	159	203	
27	158	202	
22	155	198	
17	150	193	
22	155	198	
29	162	205	
33	166	209	
32	165	208	
26	161	206	
23	158	203	
21	156	201	
20	157	201	
24	163	206	
25	162	208	
20	157	201	
19	156	202	
22	159	203	
22	157	204	
17	152	197	
19	151	199	
20	153	198	
15	145	194	
9	140	186	
15	143	192	
23	151	198	
20	148	197	
9	135	183	
11	137	185	
18	145	190	
25	152	197	
27	155	200	
22	153	197	
18	149	193	
14	147	190	
14	147	188	
23	154	196	
33	164	206	
47	176	218	
54	181	224	
58	183	227	
65	188	230	
75	196	239	
83	206	248	
85	214	253	
75	208	243	
66	196	232	
56	186	222	
47	175	212	
44	172	209	
54	180	218	
68	192	230	
75	199	237	
74	196	235	
74	193	233	
75	193	233	
77	193	234	
75	191	232	
73	186	228	
66	184	224	
45	168	209	
49	175	215	
55	181	221	
55	181	221	
53	179	219	
54	180	220	
61	187	227	
68	194	234	
59	182	223	
60	183	224	
60	183	224	
59	182	223	
56	179	220	
51	174	215	
46	169	210	
43	166	207	
66	191	235	
68	193	237	
62	189	230	
50	179	219	
43	175	214	
46	180	218	
51	185	223	
50	187	223	
57	195	232	
45	185	220	
39	177	213	
40	178	214	
40	178	214	
38	176	212	
39	176	210	
46	181	213	
47	177	211	
54	184	216	
63	192	224	
63	193	225	
60	189	221	
57	186	218	
59	188	220	
62	191	223	
67	196	228	
70	199	231	
72	201	233	
71	200	232	
73	202	234	
74	203	235	
69	198	230	
61	191	225	
55	189	224	
60	194	231	
62	196	233	
61	195	232	
60	194	231	
63	195	234	
61	193	232	
56	190	228	
53	189	229	
43	181	220	
37	179	219	
43	186	226	
44	192	230	
38	188	225	
32	184	223	
34	183	223	
37	178	221	
40	177	221	
36	175	218	
31	172	215	
29	170	213	
26	172	213	
27	175	215	
30	178	218	
47	196	236	
37	186	226	
42	191	231	
40	189	229	
23	172	212	
27	176	216	
40	188	228	
31	177	218	
36	175	216	
43	179	221	
38	174	216	
37	173	215	
46	179	222	
46	179	220	
42	175	218	
48	181	222	
41	174	215	
39	170	212	
48	179	221	
59	190	232	
61	193	232	
68	200	239	
72	204	243	
64	198	236	
54	190	228	
45	183	220	
44	182	221	
51	189	226	
55	193	232	
